game_pk,temperature,Park
716810.0,73.0,Wrigley Field
716816.0,68.0,Rogers Centre
716812.0,79.0,Coors Field
716815.0,79.0,Oriole Park at Camden Yards
716818.0,73.0,Citi Field
716823.0,67.0,Oracle Park
716804.0,67.0,T-Mobile Park
716813.0,83.0,Target Field
716803.0,74.0,Oracle Park
716798.0,70.0,Wrigley Field
716807.0,72.0,loanDepot park
716793.0,85.0,Kauffman Stadium
716801.0,71.0,Rogers Centre
716796.0,80.0,Target Field
716795.0,74.0,Comerica Park
716791.0,82.0,Coors Field
716799.0,76.0,Citi Field
716802.0,69.0,Fenway Park
716800.0,79.0,Oriole Park at Camden Yards
716797.0,85.0,Busch Stadium
716790.0,60.0,T-Mobile Park
716806.0,78.0,Citizens Bank Park
716792.0,83.0,Dodger Stadium
716785.0,67.0,Rogers Centre
716786.0,82.0,Oriole Park at Camden Yards
716779.0,67.0,Wrigley Field
716781.0,64.0,Comerica Park
716782.0,79.0,Busch Stadium
716778.0,72.0,loanDepot park
716789.0,73.0,Oracle Park
716788.0,69.0,T-Mobile Park
716773.0,91.0,Coors Field
716774.0,82.0,Dodger Stadium
716784.0,74.0,Target Field
716780.0,83.0,Kauffman Stadium
716787.0,83.0,Citizens Bank Park
716794.0,78.0,Fenway Park
716783.0,81.0,Citi Field
716768.0,78.0,Dodger Stadium
716775.0,68.0,Comerica Park
716777.0,71.0,Petco Park
716776.0,78.0,Nationals Park
716764.0,87.0,Kauffman Stadium
716761.0,72.0,Petco Park
716757.0,73.0,Dodger Stadium
716769.0,72.0,Citi Field
716762.0,77.0,Guaranteed Rate Field
716765.0,77.0,American Family Field
716766.0,80.0,Busch Stadium
716767.0,73.0,Progressive Field
716763.0,73.0,Minute Maid Park
716770.0,84.0,Great American Ball Park
718700.0,80.0,Great American Ball Park
716758.0,65.0,Oakland Coliseum
716772.0,74.0,Globe Life Field
716756.0,74.0,Chase Field
716759.0,95.0,Coors Field
716771.0,75.0,Nationals Park
716743.0,76.0,Petco Park
716747.0,78.0,Chase Field
716746.0,73.0,Minute Maid Park
716748.0,95.0,Coors Field
716753.0,87.0,Great American Ball Park
716745.0,85.0,American Family Field
716750.0,94.0,Kauffman Stadium
716754.0,79.0,Progressive Field
716741.0,76.0,Dodger Stadium
716755.0,72.0,Oakland Coliseum
716751.0,71.0,Citi Field
716744.0,87.0,Busch Stadium
716760.0,84.0,Nationals Park
716749.0,86.0,Guaranteed Rate Field
716752.0,74.0,Globe Life Field
716739.0,92.0,Kauffman Stadium
716732.0,78.0,Chase Field
